id,activity_id,activity_date
eli/dl/event/MTG-PL-2024-07-16,MTG-PL-2024-07-16,2024-07-16
eli/dl/event/MTG-PL-2024-07-17,MTG-PL-2024-07-17,2024-07-17
eli/dl/event/MTG-PL-2024-07-18,MTG-PL-2024-07-18,2024-07-18
eli/dl/event/MTG-PL-2024-07-19,MTG-PL-2024-07-19,2024-07-19
eli/dl/event/MTG-PL-2024-09-16,MTG-PL-2024-09-16,2024-09-16
eli/dl/event/MTG-PL-2024-09-17,MTG-PL-2024-09-17,2024-09-17
eli/dl/event/MTG-PL-2024-09-18,MTG-PL-2024-09-18,2024-09-18
eli/dl/event/MTG-PL-2024-09-19,MTG-PL-2024-09-19,2024-09-19
eli/dl/event/MTG-PL-2024-10-07,MTG-PL-2024-10-07,2024-10-07
eli/dl/event/MTG-PL-2024-10-08,MTG-PL-2024-10-08,2024-10-08
eli/dl/event/MTG-PL-2024-10-09,MTG-PL-2024-10-09,2024-10-09
eli/dl/event/MTG-PL-2024-10-10,MTG-PL-2024-10-10,2024-10-10
eli/dl/event/MTG-PL-2024-10-21,MTG-PL-2024-10-21,2024-10-21
eli/dl/event/MTG-PL-2024-10-22,MTG-PL-2024-10-22,2024-10-22
eli/dl/event/MTG-PL-2024-10-23,MTG-PL-2024-10-23,2024-10-23
eli/dl/event/MTG-PL-2024-10-24,MTG-PL-2024-10-24,2024-10-24
eli/dl/event/MTG-PL-2024-11-13,MTG-PL-2024-11-13,2024-11-13
eli/dl/event/MTG-PL-2024-11-14,MTG-PL-2024-11-14,2024-11-14
eli/dl/event/MTG-PL-2024-11-19,MTG-PL-2024-11-19,2024-11-19
eli/dl/event/MTG-PL-2024-11-25,MTG-PL-2024-11-25,2024-11-25
eli/dl/event/MTG-PL-2024-11-26,MTG-PL-2024-11-26,2024-11-26
eli/dl/event/MTG-PL-2024-11-27,MTG-PL-2024-11-27,2024-11-27
eli/dl/event/MTG-PL-2024-11-28,MTG-PL-2024-11-28,2024-11-28
eli/dl/event/MTG-PL-2024-12-16,MTG-PL-2024-12-16,2024-12-16
eli/dl/event/MTG-PL-2024-12-17,MTG-PL-2024-12-17,2024-12-17
eli/dl/event/MTG-PL-2024-12-18,MTG-PL-2024-12-18,2024-12-18
eli/dl/event/MTG-PL-2024-12-19,MTG-PL-2024-12-19,2024-12-19
eli/dl/event/MTG-PL-2025-01-20,MTG-PL-2025-01-20,2025-01-20
eli/dl/event/MTG-PL-2025-01-21,MTG-PL-2025-01-21,2025-01-21
eli/dl/event/MTG-PL-2025-01-22,MTG-PL-2025-01-22,2025-01-22
eli/dl/event/MTG-PL-2025-01-23,MTG-PL-2025-01-23,2025-01-23
eli/dl/event/MTG-PL-2025-01-29,MTG-PL-2025-01-29,2025-01-29
eli/dl/event/MTG-PL-2025-02-10,MTG-PL-2025-02-10,2025-02-10
eli/dl/event/MTG-PL-2025-02-11,MTG-PL-2025-02-11,2025-02-11
eli/dl/event/MTG-PL-2025-02-12,MTG-PL-2025-02-12,2025-02-12
eli/dl/event/MTG-PL-2025-02-13,MTG-PL-2025-02-13,2025-02-13
eli/dl/event/MTG-PL-2025-03-10,MTG-PL-2025-03-10,2025-03-10
eli/dl/event/MTG-PL-2025-03-11,MTG-PL-2025-03-11,2025-03-11
eli/dl/event/MTG-PL-2025-03-12,MTG-PL-2025-03-12,2025-03-12
eli/dl/event/MTG-PL-2025-03-13,MTG-PL-2025-03-13,2025-03-13
eli/dl/event/MTG-PL-2025-03-31,MTG-PL-2025-03-31,2025-03-31
eli/dl/event/MTG-PL-2025-04-01,MTG-PL-2025-04-01,2025-04-01
eli/dl/event/MTG-PL-2025-04-02,MTG-PL-2025-04-02,2025-04-02
eli/dl/event/MTG-PL-2025-04-03,MTG-PL-2025-04-03,2025-04-03
eli/dl/event/MTG-PL-2025-05-05,MTG-PL-2025-05-05,2025-05-05
eli/dl/event/MTG-PL-2025-05-06,MTG-PL-2025-05-06,2025-05-06
eli/dl/event/MTG-PL-2025-05-07,MTG-PL-2025-05-07,2025-05-07
eli/dl/event/MTG-PL-2025-05-08,MTG-PL-2025-05-08,2025-05-08
eli/dl/event/MTG-PL-2025-05-21,MTG-PL-2025-05-21,2025-05-21
eli/dl/event/MTG-PL-2025-05-22,MTG-PL-2025-05-22,2025-05-22
eli/dl/event/MTG-PL-2025-06-16,MTG-PL-2025-06-16,2025-06-16
eli/dl/event/MTG-PL-2025-06-17,MTG-PL-2025-06-17,2025-06-17
eli/dl/event/MTG-PL-2025-06-18,MTG-PL-2025-06-18,2025-06-18
eli/dl/event/MTG-PL-2025-06-19,MTG-PL-2025-06-19,2025-06-19
eli/dl/event/MTG-PL-2025-07-07,MTG-PL-2025-07-07,2025-07-07
eli/dl/event/MTG-PL-2025-07-08,MTG-PL-2025-07-08,2025-07-08
eli/dl/event/MTG-PL-2025-07-09,MTG-PL-2025-07-09,2025-07-09
eli/dl/event/MTG-PL-2025-07-10,MTG-PL-2025-07-10,2025-07-10
eli/dl/event/MTG-PL-2025-09-08,MTG-PL-2025-09-08,2025-09-08
eli/dl/event/MTG-PL-2025-09-09,MTG-PL-2025-09-09,2025-09-09
eli/dl/event/MTG-PL-2025-09-10,MTG-PL-2025-09-10,2025-09-10
eli/dl/event/MTG-PL-2025-09-11,MTG-PL-2025-09-11,2025-09-11
eli/dl/event/MTG-PL-2025-10-06,MTG-PL-2025-10-06,2025-10-06
eli/dl/event/MTG-PL-2025-10-07,MTG-PL-2025-10-07,2025-10-07
eli/dl/event/MTG-PL-2025-10-08,MTG-PL-2025-10-08,2025-10-08
eli/dl/event/MTG-PL-2025-10-09,MTG-PL-2025-10-09,2025-10-09
eli/dl/event/MTG-PL-2025-10-20,MTG-PL-2025-10-20,2025-10-20
eli/dl/event/MTG-PL-2025-10-21,MTG-PL-2025-10-21,2025-10-21
eli/dl/event/MTG-PL-2025-10-22,MTG-PL-2025-10-22,2025-10-22
eli/dl/event/MTG-PL-2025-10-23,MTG-PL-2025-10-23,2025-10-23
